a,b,c,Discriminant
1,9,-143,653
1,9,-145,661
1,9,-148,673
1,9,-149,677
1,11,-145,701
1,11,-147,709
1,13,-141,733
1,13,-147,757
1,13,-148,761
1,13,-150,769
2,5,-134,1097
2,5,-138,1129
2,5,-141,1153
2,5,-146,1193
2,5,-147,1201
2,5,-149,1217
2,7,-113,953
2,7,-116,977
2,7,-120,1009
2,7,-123,1033
2,7,-125,1049
2,7,-150,1249
3,5,-139,1693
3,5,-143,1741
3,5,-144,1753
3,5,-146,1777
3,5,-147,1789
3,5,-148,1801
3,7,-125,1549
3,7,-129,1597
3,7,-130,1609
3,7,-131,1621
3,7,-134,1657
3,7,-135,1669
4,5,-132,2137
4,5,-133,2153
4,5,-141,2281
4,5,-142,2297
4,5,-147,2377
4,5,-148,2393
4,7,-127,2081
4,7,-129,2113
4,7,-130,2129
4,7,-132,2161
4,7,-139,2273
4,7,-148,2417
5,7,-134,2729
5,7,-135,2749
5,7,-137,2789
5,7,-143,2909
5,7,-146,2969
5,7,-150,3049
5,9,-133,2741
5,9,-136,2801
5,9,-139,2861
5,9,-146,3001
5,9,-148,3041
5,9,-149,3061
6,5,-133,3217
6,5,-137,3313
6,5,-139,3361
6,5,-142,3433
6,5,-143,3457
6,5,-146,3529
6,7,-111,2713
6,7,-116,2833
6,7,-117,2857
6,7,-121,2953
6,7,-128,3121
6,7,-130,3169
7,5,-129,3637
7,5,-136,3833
7,5,-138,3889
7,5,-139,3917
7,5,-142,4001
7,5,-144,4057
7,9,-115,3301
7,9,-116,3329
7,9,-119,3413
7,9,-121,3469
7,9,-125,3581
7,9,-149,4253
8,5,-129,4153
8,5,-131,4217
8,5,-137,4409
8,5,-138,4441
8,5,-147,4729
8,5,-149,4793
8,7,-132,4273
8,7,-134,4337
8,7,-141,4561
8,7,-144,4657
8,7,-146,4721
8,7,-149,4817
9,5,-133,4813
9,5,-137,4957
9,5,-138,4993
9,5,-141,5101
9,5,-144,5209
9,5,-146,5281
9,7,-132,4801
9,7,-135,4909
9,7,-143,5197
9,7,-144,5233
9,7,-149,5413
9,7,-150,5449
10,7,-121,4889
10,7,-123,4969
10,7,-124,5009
10,7,-138,5569
10,7,-141,5689
10,7,-145,5849
10,9,-125,5081
10,9,-134,5441
10,9,-136,5521
10,9,-139,5641
10,9,-143,5801
10,9,-145,5881
11,5,-137,6053
11,5,-141,6229
11,5,-143,6317
11,5,-144,6361
11,5,-146,6449
11,5,-149,6581
11,7,-116,5153
11,7,-122,5417
11,7,-131,5813
11,7,-132,5857
11,7,-138,6121
11,7,-146,6473
12,5,-129,6217
12,5,-136,6553
12,5,-141,6793
12,5,-142,6841
12,5,-148,7129
12,5,-149,7177
12,7,-134,6481
12,7,-135,6529
12,7,-136,6577
12,7,-138,6673
12,7,-144,6961
12,7,-146,7057
13,5,-109,5693
13,5,-114,5953
13,5,-123,6421
13,5,-129,6733
13,5,-139,7253
13,5,-147,7669
13,7,-127,6653
13,7,-135,7069
13,7,-136,7121
13,7,-142,7433
13,7,-144,7537
13,7,-145,7589
14,5,-128,7193
14,5,-132,7417
14,5,-134,7529
14,5,-138,7753
14,5,-144,8089
14,5,-149,8369
14,9,-101,5737
14,9,-107,6073
14,9,-112,6353
14,9,-115,6521
14,9,-118,6689
14,9,-121,6857
15,7,-138,8329
15,7,-139,8389
15,7,-143,8629
15,7,-144,8689
15,7,-148,8929
15,7,-150,9049
15,11,-141,8581
15,11,-142,8641
15,11,-144,8761
15,11,-145,8821
15,11,-147,8941
15,11,-148,9001
16,5,-114,7321
16,5,-118,7577
16,5,-133,8537
16,5,-144,9241
16,5,-147,9433
16,5,-148,9497
16,7,-106,6833
16,7,-121,7793
16,7,-136,8753
16,7,-142,9137
16,7,-148,9521
16,7,-150,9649
17,5,-119,8117
17,5,-131,8933
17,5,-137,9341
17,5,-141,9613
17,5,-143,9749
17,5,-144,9817
17,7,-101,6917
17,7,-108,7393
17,7,-116,7937
17,7,-120,8209
17,7,-134,9161
17,7,-149,10181
18,5,-118,8521
18,5,-121,8737
18,5,-133,9601
18,5,-141,10177
18,5,-143,10321
18,5,-149,10753
18,7,-62,4513
18,7,-106,7681
18,7,-129,9337
18,7,-134,9697
18,7,-135,9769
18,7,-142,10273
19,5,-129,9829
19,5,-133,10133
19,5,-138,10513
19,5,-139,10589
19,5,-147,11197
19,5,-148,11273
19,7,-123,9397
19,7,-124,9473
19,7,-130,9929
19,7,-139,10613
19,7,-144,10993
19,7,-145,11069
20,7,-129,10369
20,7,-131,10529
20,7,-141,11329
20,7,-143,11489
20,7,-149,11969
20,7,-150,12049
20,9,-97,7841
20,9,-100,8081
20,9,-101,8161
20,9,-112,9041
20,9,-115,9281
20,9,-145,11681
21,5,-142,11953
21,5,-143,12037
21,5,-146,12289
21,5,-147,12373
21,5,-148,12457
21,5,-149,12541
21,11,-127,10789
21,11,-129,10957
21,11,-145,12301
21,11,-148,12553
21,11,-149,12637
21,11,-150,12721
22,5,-94,8297
22,5,-124,10937
22,5,-126,11113
22,5,-141,12433
22,5,-144,12697
22,5,-148,13049
22,7,-106,9377
22,7,-115,10169
22,7,-118,10433
22,7,-139,12281
22,7,-145,12809
22,7,-150,13249
23,5,-81,7477
23,5,-99,9133
23,5,-119,10973
23,5,-126,11617
23,5,-128,11801
23,5,-146,13457
23,7,-125,11549
23,7,-131,12101
23,7,-134,12377
23,7,-137,12653
23,7,-144,13297
23,7,-149,13757
24,5,-118,11353
24,5,-123,11833
24,5,-129,12409
24,5,-131,12601
24,5,-134,12889
24,5,-137,13177
24,7,-83,8017
24,7,-127,12241
24,7,-135,13009
24,7,-142,13681
24,7,-144,13873
24,7,-150,14449
25,7,-111,11149
25,7,-121,12149
25,7,-136,13649
25,7,-141,14149
25,7,-142,14249
25,7,-145,14549
25,9,-119,11981
25,9,-127,12781
25,9,-133,13381
25,9,-137,13781
25,9,-140,14081
25,9,-142,14281
26,5,-113,11777
26,5,-119,12401
26,5,-122,12713
26,5,-128,13337
26,5,-129,13441
26,5,-143,14897
26,7,-107,11177
26,7,-111,11593
26,7,-116,12113
26,7,-123,12841
26,7,-138,14401
26,7,-141,14713
27,5,-124,13417
27,5,-126,13633
27,5,-131,14173
27,5,-133,14389
27,5,-137,14821
27,5,-138,14929
27,7,-109,11821
27,7,-113,12253
27,7,-116,12577
27,7,-131,14197
27,7,-135,14629
27,7,-136,14737
28,5,-97,10889
28,5,-106,11897
28,5,-112,12569
28,5,-118,13241
28,5,-121,13577
28,5,-124,13913
28,9,-16,1873
28,9,-23,2657
28,9,-41,4673
28,9,-98,11057
28,9,-101,11393
28,9,-131,14753
29,5,-96,11161
