"a","b","c","discriminant","overall_score","max_abs_acf","n_sig_lags"
1,9,-148,673,0.6,0.00856494593813078,0
1,9,-149,677,0.65,0.0073729094141203,0
1,13,-141,733,0.5,0.00977054403903415,1
1,13,-148,761,0.8,0.00897648669620372,1
2,5,-134,1097,0.9,0.00771132676568093,0
2,5,-141,1153,0.95,0.00633204555035931,0
2,5,-147,1201,0.95,0.00777922023922163,0
2,5,-149,1217,0.95,0.00778963510323781,0
2,7,-120,1009,0.95,0.00793569268452144,0
2,7,-125,1049,0.8,0.00977941197077593,1
2,7,-150,1249,0.8,0.00917248948238364,1
3,5,-139,1693,0.75,0.00979840376496852,1
3,5,-143,1741,0.8,0.00884554749061737,1
3,5,-147,1789,0.8,0.00930761962813681,1
3,5,-148,1801,0.75,0.00946667941866208,4
3,7,-125,1549,0.5,0.00975177382144345,1
3,7,-129,1597,0.95,0.00612867163953628,0
3,7,-130,1609,0.9,0.00719005174628186,0
3,7,-131,1621,0.95,0.00805636930510781,0
4,5,-133,2153,0.5,0.0095221563113769,3
4,5,-141,2281,0.8,0.00967993413120146,2
4,5,-142,2297,0.9,0.00805637759209952,0
4,7,-127,2081,0.8,0.00904175904037218,1
4,7,-132,2161,0.5,0.00939146605843263,1
4,7,-139,2273,0.95,0.00652971699894042,0
5,7,-134,2729,0.75,0.00949624552141673,1
5,7,-135,2749,0.5,0.00934848826814135,1
5,7,-137,2789,0.95,0.00801053540543587,0
5,7,-150,3049,0.95,0.00861553782983098,0
5,9,-133,2741,0.8,0.00974162596100206,1
5,9,-136,2801,0.95,0.00590532458224853,0
5,9,-146,3001,0.8,0.00893913649579176,1
6,5,-137,3313,0.95,0.00791139731024278,0
6,5,-139,3361,0.8,0.00879809957272204,1
6,5,-143,3457,0.9,0.00861967220880869,0
6,7,-116,2833,0.9,0.00433718210586819,0
7,5,-129,3637,0.75,0.00918985594982726,1
7,5,-138,3889,0.5,0.00990935446474168,1
7,5,-142,4001,0.95,0.00844643624278342,0
7,5,-144,4057,0.9,0.00765855522101065,0
7,9,-116,3329,0.95,0.00803043490905263,0
7,9,-121,3469,0.75,0.00910938398997314,3
7,9,-149,4253,0.95,0.00718786595790628,0
8,7,-132,4273,0.8,0.00940501408811585,2
8,7,-141,4561,0.95,0.00859681065910142,0
