"generator","generator_name","n_samples","test","pass_rate","mean_p_value","n_valid"
"R_mersenne","R Mersenne Twister",10000,"basic_tests_Kolmogorov-Smirnov",0.96,0.42810207843483,50
"R_mersenne","R Mersenne Twister",10000,"basic_tests_Chi-squared",0.96,0.538129893605556,50
"R_mersenne","R Mersenne Twister",10000,"basic_tests_Runs Test",0.94,0.448311147480352,50
"R_mersenne","R Mersenne Twister",10000,"basic_tests_Autocorrelation",0.94,0.51956567713556,50
"R_mersenne","R Mersenne Twister",10000,"advanced_tests_Spectral Test",0.98,0.654290736927546,50
"R_mersenne","R Mersenne Twister",10000,"advanced_tests_Gap Test",0.92,0.426087046668836,50
"R_lecuyer","R L'Ecuyer-CMRG",10000,"basic_tests_Kolmogorov-Smirnov",1,0.538882862628468,50
"R_lecuyer","R L'Ecuyer-CMRG",10000,"basic_tests_Chi-squared",0.92,0.492398586813083,50
"R_lecuyer","R L'Ecuyer-CMRG",10000,"basic_tests_Runs Test",0.94,0.499779585981133,50
"R_lecuyer","R L'Ecuyer-CMRG",10000,"basic_tests_Autocorrelation",0.96,0.476259523228669,50
"R_lecuyer","R L'Ecuyer-CMRG",10000,"advanced_tests_Spectral Test",0.98,0.561222764692327,50
"R_lecuyer","R L'Ecuyer-CMRG",10000,"advanced_tests_Gap Test",0.98,0.460973087683712,50
"R_wichmann","R Wichmann-Hill",10000,"basic_tests_Kolmogorov-Smirnov",0.98,0.532946113895186,50
"R_wichmann","R Wichmann-Hill",10000,"basic_tests_Chi-squared",0.96,0.475297850861015,50
"R_wichmann","R Wichmann-Hill",10000,"basic_tests_Runs Test",0.96,0.521507973614798,50
"R_wichmann","R Wichmann-Hill",10000,"basic_tests_Autocorrelation",0.96,0.50149093673065,50
"R_wichmann","R Wichmann-Hill",10000,"advanced_tests_Spectral Test",1,0.64488499767903,50
"R_wichmann","R Wichmann-Hill",10000,"advanced_tests_Gap Test",0.98,0.569156174381417,50
"R_marsaglia","R Marsaglia-Multicarry",10000,"basic_tests_Kolmogorov-Smirnov",0.96,0.475771230272347,50
"R_marsaglia","R Marsaglia-Multicarry",10000,"basic_tests_Chi-squared",0.94,0.480511355586545,50
"R_marsaglia","R Marsaglia-Multicarry",10000,"basic_tests_Runs Test",0.98,0.566413554649062,50
"R_marsaglia","R Marsaglia-Multicarry",10000,"basic_tests_Autocorrelation",0.94,0.459252993466456,50
"R_marsaglia","R Marsaglia-Multicarry",10000,"advanced_tests_Spectral Test",1,0.695093345107223,50
"R_marsaglia","R Marsaglia-Multicarry",10000,"advanced_tests_Gap Test",0.98,0.526927656781216,50
"R_superduper","R Super-Duper",10000,"basic_tests_Kolmogorov-Smirnov",0.94,0.430891035017578,50
