"generator_name","avg_pass_rate","tests_passed","tests_failed","total_tests","success_ratio","rank"
"dqrng (Threefry)",1,18,0,18,1,1
"dqrng (Xoshiro256+)",0.987777777777778,17,0,18,0.944444444444444,2.5
"dqrng (Xoshiro256++)",0.987777777777778,17,0,18,0.944444444444444,2.5
"dqrng (Xoroshiro128++)",0.985555555555556,17,0,18,0.944444444444444,4
"dqrng (PCG64)",0.973333333333333,16,0,18,0.888888888888889,5
"QIPRNG (High Precision)",0.967777777777778,14,0,18,0.777777777777778,6
"R L'Ecuyer-CMRG",0.963333333333333,12,0,18,0.666666666666667,7
"R Knuth-TAOCP",0.962222222222222,11,0,18,0.611111111111111,8.5
"R Wichmann-Hill",0.962222222222222,14,0,18,0.777777777777778,8.5
"QIPRNG (No Crypto)",0.958888888888889,11,0,18,0.611111111111111,10
"QIPRNG (Default Config)",0.957777777777778,10,0,18,0.555555555555556,11
"R Marsaglia-Multicarry",0.956666666666667,10,0,18,0.555555555555556,12
"R Knuth-TAOCP-2002",0.955555555555555,9,0,18,0.5,13.5
"R Mersenne Twister",0.955555555555555,10,0,18,0.555555555555556,13.5
"Crypto (OpenSSL)",0.954444444444444,11,0,18,0.611111111111111,15
"QIPRNG (With Crypto)",0.952222222222222,8,0,18,0.444444444444444,16
"R Super-Duper",0.948888888888889,9,0,18,0.5,17
"dqrng (Xoroshiro128+)",0.884444444444444,10,0,18,0.555555555555556,18
