"generator","generator_name","n_samples","mean_observed","mean_deviation","variance_observed","variance_deviation","skewness_observed","skewness_deviation","kurtosis_observed","kurtosis_deviation"
"R_mersenne","R Mersenne Twister",10000,0.499736348575615,0.000263651424384725,0.0833695925783956,3.62592450622451e-05,0.000480833868545018,0.000480833868545018,-1.20050154585991,0.00050154585990958
"R_lecuyer","R L'Ecuyer-CMRG",10000,0.500304715427403,0.000304715427402846,0.0832576479523053,7.56853810280345e-05,-0.00130014286643016,0.00130014286643016,-1.19896077979162,0.00103922020838354
"R_wichmann","R Wichmann-Hill",10000,0.499903170890116,9.68291098838447e-05,0.0833778530200317,4.45196866983577e-05,0.000379725398341028,0.000379725398341028,-1.20015244105314,0.000152441053143715
"R_marsaglia","R Marsaglia-Multicarry",10000,0.499518634145935,0.000481365854064997,0.0832900431008954,4.32902324379592e-05,0.00398558879589908,0.00398558879589908,-1.19763173150453,0.00236826849546956
"R_superduper","R Super-Duper",10000,0.499763614986124,0.000236385013875573,0.0834880107941148,0.000154677460781447,0.000421478759782003,0.000421478759782003,-1.20224157291396,0.0022415729139631
"R_knuth","R Knuth-TAOCP",10000,0.499885388017866,0.000114611982134138,0.083337888267478,4.5549341446266e-06,0.000530436658862395,0.000530436658862395,-1.19971176794716,0.000288232052840565
"R_knuth2002","R Knuth-TAOCP-2002",10000,0.499987224488785,1.27755112150352e-05,0.0832409383619671,9.2394971366247e-05,0.000456479281362359,0.000456479281362359,-1.19928539784961,0.000714602150389654
"qiprng_default","QIPRNG (Default Config)",10000,0.498927249033594,0.00107275096640613,0.0831882537913074,0.000145079542025917,0.00598697209785788,0.00598697209785788,-1.19871471807558,0.00128528192442223
"qiprng_nocrypto","QIPRNG (No Crypto)",10000,0.499686759919154,0.000313240080846489,0.0833593705057154,2.60371723820457e-05,0.00115207165692132,0.00115207165692132,-1.20114628622055,0.00114628622054935
"qiprng_crypto","QIPRNG (With Crypto)",10000,0.499104643117134,0.000895356882865683,0.0833379081061303,4.57477279693086e-06,0.00315728863617465,0.00315728863617465,-1.19843932769227,0.00156067230773127
"qiprng_highprec","QIPRNG (High Precision)",10000,0.499811387009845,0.000188612990154602,0.0833783085347767,4.4975201443323e-05,0.00150863934882183,0.00150863934882183,-1.20160520339303,0.00160520339302872
"crypto_openssl","Crypto (OpenSSL)",10000,0.499953988309295,4.60116907050612e-05,0.0831251920704678,0.000208141262865502,-0.000889789721133127,0.000889789721133127,-1.19715448122937,0.00284551877062778
"dqrng_pcg64","dqrng (PCG64)",10000,0.502922374681265,0.00292237468126477,0.0832774739149371,5.5859418396198e-05,-0.016133250774099,0.016133250774099,-1.20077521442917,0.000775214429168392
"dqrng_xoroshiro128pp","dqrng (Xoroshiro128++)",10000,0.499019311696519,0.000980688303481136,0.0834049249458136,7.1591612480229e-05,0.00176206140535659,0.00176206140535659,-1.20473459747116,0.00473459747115856
"dqrng_xoshiro256pp","dqrng (Xoshiro256++)",10000,0.500932462962891,0.00093246296289129,0.0832779891956447,5.5344137688651e-05,-0.00386225177101242,0.00386225177101242,-1.19330754127217,0.00669245872782942
"dqrng_threefry","dqrng (Threefry)",10000,0.502855535096323,0.00285553509632341,0.0833135192508058,1.9814082527575e-05,-0.0139954160366936,0.0139954160366936,-1.20252701919159,0.00252701919158871
"dqrng_xoroshiro128p","dqrng (Xoroshiro128+)",10000,0.499240557296006,0.000759442703994029,0.0836244980216628,0.000291164688329446,-0.000122894633493053,0.000122894633493053,-1.19793259252574,0.0020674074742566
"dqrng_xoshiro256p","dqrng (Xoshiro256+)",10000,0.499919521944596,8.04780554038431e-05,0.0833386979793918,5.36464605845055e-06,-0.00151251293515027,0.00151251293515027,-1.19831594812109,0.0016840518789063
"R_mersenne","R Mersenne Twister",1e+05,0.50017078248677,0.000170782486769494,0.083359856778971,2.65234456376245e-05,-0.000485470989541037,0.000485470989541037,-1.20024729025952,0.000247290259515198
"R_lecuyer","R L'Ecuyer-CMRG",1e+05,0.499921727665964,7.82723340360114e-05,0.083365911659549,3.25783262157125e-05,0.000321791060215893,0.000321791060215893,-1.20013664270317,0.000136642703170375
"R_wichmann","R Wichmann-Hill",1e+05,0.499880055645893,0.00011994435410706,0.0832846603345468,4.86729987865253e-05,0.00035407498365672,0.00035407498365672,-1.19923596974279,0.000764030257210724
