"a","b","c","discriminant","overall_score","max_abs_acf","n_sig_lags"
1,9,-145,661,0.9625,0.00223987875550196,0
1,9,-148,673,0.9625,0.00222793583122936,0
1,9,-149,677,0.925,0.00207003700395891,0
1,13,-147,757,0.9625,0.00223056495810477,0
2,5,-147,1201,0.9625,0.00226633608871836,0
2,5,-149,1217,0.9625,0.00196098010137446,0
2,7,-120,1009,0.9625,0.00229026862388729,0
2,7,-150,1249,0.925,0.00242561376796048,0
3,5,-139,1693,0.9625,0.00232472919101298,0
3,5,-144,1753,0.9625,0.0018796579913802,0
3,5,-146,1777,0.9625,0.00215329600552397,0
3,5,-147,1789,0.9625,0.00190286851053015,0
3,7,-125,1549,0.9625,0.00246654571444236,0
3,7,-129,1597,0.9625,0.00183517631059385,0
3,7,-134,1657,0.9625,0.0018617649637472,0
3,7,-135,1669,0.9625,0.0021011724811661,0
4,5,-133,2153,0.9625,0.00203173973467901,0
4,5,-141,2281,0.9625,0.00236785531690993,0
4,5,-147,2377,0.925,0.0025588990716102,0
4,7,-127,2081,0.9625,0.00193147616574433,0
4,7,-132,2161,0.9625,0.00214732600810178,0
4,7,-139,2273,0.9625,0.00215790095270479,0
4,7,-148,2417,0.925,0.0025308394176731,0
5,7,-137,2789,0.925,0.0022232764933874,0
5,7,-143,2909,0.9625,0.00251080475357747,0
5,7,-150,3049,0.9625,0.0023422571253057,0
5,9,-133,2741,0.8875,0.00234046091669877,0
5,9,-136,2801,0.9625,0.00229896298884466,0
5,9,-146,3001,0.9625,0.00254111257017755,0
5,9,-148,3041,0.925,0.00208201684743004,0
5,9,-149,3061,0.925,0.00211092053797841,0
6,5,-137,3313,0.925,0.00219393604616992,0
6,5,-142,3433,0.9625,0.00179917031092419,0
6,5,-146,3529,0.9625,0.00197778954520273,0
6,7,-117,2857,0.925,0.00244856968741801,0
6,7,-130,3169,0.9625,0.00232827606958969,0
7,5,-138,3889,0.9625,0.0021685979330312,0
7,5,-144,4057,0.9625,0.00217413226158716,0
7,9,-115,3301,0.925,0.0023059932838012,0
7,9,-119,3413,0.9625,0.00211407212498243,0
8,5,-138,4441,0.9625,0.00174961642640838,0
8,5,-149,4793,0.9625,0.00214732617403434,0
8,7,-132,4273,0.9625,0.00195682124813938,0
8,7,-146,4721,0.9625,0.00201486619952421,0
9,5,-133,4813,0.925,0.00248919953699866,0
9,5,-137,4957,0.925,0.00239209459653864,0
9,5,-138,4993,0.9625,0.00222856705674143,0
9,7,-143,5197,0.9625,0.00250608619248359,0
9,7,-149,5413,0.925,0.00242031731377971,0
9,7,-150,5449,0.925,0.00218219556510614,0
10,7,-121,4889,0.9625,0.00183903944705734,0
10,7,-124,5009,0.8875,0.00239645142025043,0
10,7,-138,5569,0.925,0.00253022914724011,0
10,7,-145,5849,0.9625,0.00232101859152559,0
10,9,-125,5081,0.925,0.00252916650515898,0
10,9,-134,5441,0.925,0.00221476569826373,0
10,9,-136,5521,0.925,0.00241891974811548,0
10,9,-143,5801,0.925,0.0022455015093061,0
10,9,-145,5881,0.9625,0.00215437447690291,0
11,5,-144,6361,0.925,0.00249930690634966,0
11,5,-146,6449,0.9625,0.00200179727184159,0
11,7,-116,5153,0.9625,0.00205382162874812,0
11,7,-131,5813,0.9625,0.00207427022926128,0
11,7,-132,5857,0.9625,0.00196899102405305,0
11,7,-146,6473,0.9625,0.00247987718332736,0
12,5,-142,6841,0.9625,0.00225033193414524,0
12,7,-134,6481,0.9625,0.00240853105764745,0
12,7,-135,6529,0.925,0.00218548281148644,0
12,7,-138,6673,0.9625,0.00238620958938312,0
13,5,-109,5693,0.9625,0.0021735827422218,0
13,5,-129,6733,0.9625,0.0021758338582605,0
13,5,-139,7253,0.9625,0.00205093590315365,0
13,7,-136,7121,0.9625,0.00205877440437222,0
13,7,-142,7433,0.9625,0.00240184032549904,0
13,7,-144,7537,0.9625,0.00196335404707081,0
13,7,-145,7589,0.9625,0.00176021552716937,0
14,5,-132,7417,0.925,0.00222424065587084,0
